Mountain,Filename,Total_Distance_km,Elevation_Gain_m,Min_Elevation_m,Max_Elevation_m,Average_Slope_%,Max_Slope_%,Estimated_Time_hrs,Start_Lat,Start_Lon,End_Lat,End_Lon,join_key,산이름,높이_m,소재지,봄추천,여름추천,가을추천,겨울추천,봄_포인트,여름_포인트,가을_포인트,겨울_포인트,단풍절정시기,기상청단풍확인,겨울난이도(★기준),입문자추천,케이블카·곤돌라,대중교통접근,메모,Score_Endurance,Score_Joint_Strain,Score_Total_Difficulty,PeakFit_Tags,Cluster_ID,Persona_Type,Persona_Tags
감악산,감악산_0000000007.gpx,6.98,822.0,107.0,670.0,26.35,240.78,0,37.944933,126.941638,37.943349,126.944857,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,28.5,12.4,20.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000008.gpx,6.2,433.58,125.58,363.51,15.71,178.39,0,37.936975,126.944425,37.910762,126.964708,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,19.6,8.2,13.9,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
감악산,감악산_0000000009.gpx,5.6,465.97,91.22,322.28,19.34,148.81,0,37.938846,126.944711,37.959591,126.957349,감악산,감악산,675.0,경기 파주·양주,O,O,O,X,진달래,숲길,단풍,-,-,X,★☆☆,O,X,O,수도권 접근 용이,19.2,9.0,14.1,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
강천산,강천산_0000000001.gpx,6.83,639.39,192.36,608.27,19.71,120.39,0,35.40894,127.067686,35.399837,127.056868,강천산,,,,,,,,,,,,,,,,,,,24.7,8.8,16.8,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
강천산,강천산_0000000002.gpx,7.6,743.9,193.34,517.46,21.9,216.24,0,35.408708,127.066815,35.407401,127.065399,강천산,,,,,,,,,,,,,,,,,,,28.1,10.7,19.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
강천산,강천산_0000000003.gpx,11.05,789.19,194.0,648.82,16.06,214.51,0,35.408916,127.067301,35.396426,127.054238,강천산,,,,,,,,,,,,,,,,,,,35.0,8.8,21.9,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
강천산,강천산_0000000004.gpx,11.29,949.98,193.93,596.78,18.99,146.12,0,35.408929,127.067397,35.405645,127.06197,강천산,,,,,,,,,,,,,,,,,,,38.6,8.9,23.8,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
강천산,강천산_0000000005.gpx,10.92,883.66,177.97,599.09,17.06,130.49,0,35.413231,127.075313,35.392913,127.045664,강천산,,,,,,,,,,,,,,,,,,,36.6,8.1,22.4,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계룡산,계룡산_0000000001.gpx,6.22,1347.98,130.48,799.63,44.27,695.67,0,36.371937,127.257895,36.361424,127.210292,계룡산,계룡산,845.0,대전·충남 공주·논산,O,O,O,X,진달래·벚꽃,계곡,단풍,-,-,O,★★☆,O,X,O,계룡시·공주 접근,37.3,24.0,30.6,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계룡산,계룡산_0000000002.gpx,8.55,766.13,190.63,790.02,21.08,121.17,0,36.357841,127.236819,36.357426,127.23595,계룡산,계룡산,845.0,대전·충남 공주·논산,O,O,O,X,진달래·벚꽃,계곡,단풍,-,-,O,★★☆,O,X,O,계룡시·공주 접근,30.2,9.2,19.7,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계룡산,계룡산_0000000003.gpx,8.24,814.83,150.35,766.19,20.66,94.59,0,36.368753,127.180794,36.364784,127.187594,계룡산,계룡산,845.0,대전·충남 공주·논산,O,O,O,X,진달래·벚꽃,계곡,단풍,-,-,O,★★☆,O,X,O,계룡시·공주 접근,30.6,8.7,19.6,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계룡산,계룡산_0000000004.gpx,4.22,897.0,148.0,779.0,35.11,386.52,0,36.369663,127.181148,36.361536,127.210658,계룡산,계룡산,845.0,대전·충남 공주·논산,O,O,O,X,진달래·벚꽃,계곡,단풍,-,-,O,★★☆,O,X,O,계룡시·공주 접근,25.1,17.1,21.1,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
